"Subject"	"Activity"	"Mean"
1	"STANDING"	-0.616973401597861
1	"STANDING"	-0.647452647823529
1	"STANDING"	-0.652025983711765
1	"STANDING"	-0.657534953336756
1	"STANDING"	-0.654057956196078
1	"STANDING"	-0.659554030525312
1	"STANDING"	-0.645116775069519
1	"STANDING"	-0.645325383887504
1	"STANDING"	-0.641482099815508
1	"STANDING"	-0.647290997762888
1	"STANDING"	-0.644086386082888
1	"STANDING"	-0.658825698502317
1	"STANDING"	-0.654020403976524
1	"STANDING"	-0.653875139931551
1	"STANDING"	-0.60943354542139
1	"STANDING"	-0.640511321434046
1	"STANDING"	-0.653508930552941
1	"STANDING"	-0.653391669550089
1	"STANDING"	-0.655448835994474
1	"STANDING"	-0.645527588281462
1	"STANDING"	-0.65609994263066
1	"STANDING"	-0.654135769801783
1	"STANDING"	-0.651505895317469
1	"STANDING"	-0.659999789363633
1	"STANDING"	-0.65056776896369
1	"STANDING"	-0.644122114043494
1	"STANDING"	-0.640787210232781
1	"SITTING"	-0.570213357480927
1	"SITTING"	-0.625172535675936
1	"SITTING"	-0.637487907064171
1	"SITTING"	-0.559968098207487
1	"SITTING"	-0.528745131451961
1	"SITTING"	-0.556676454634403
1	"SITTING"	-0.633179913416043
1	"SITTING"	-0.631428602746702
1	"SITTING"	-0.645136656863993
1	"SITTING"	-0.646204836351961
1	"SITTING"	-0.651208955461854
1	"SITTING"	-0.612689181286453
1	"SITTING"	-0.629372220849376
1	"SITTING"	-0.638599739738164
1	"SITTING"	-0.647367776978431
1	"SITTING"	-0.647291931333868
1	"SITTING"	-0.641141104321693
1	"SITTING"	-0.640233389382709
1	"SITTING"	-0.651022219299822
1	"SITTING"	-0.645440083469037
1	"SITTING"	-0.653014850709804
1	"SITTING"	-0.650811171713904
1	"SITTING"	-0.649183828508021
1	"SITTING"	-0.645873390263993
1	"LAYING"	-0.603132382210214
1	"LAYING"	-0.634715269611943
1	"LAYING"	-0.633303775152923
1	"LAYING"	-0.643603751138253
1	"LAYING"	-0.657309994401426
1	"LAYING"	-0.649761720088289
1	"LAYING"	-0.64246215870713
1	"LAYING"	-0.654821388556328
1	"LAYING"	-0.650407582471176
1	"LAYING"	-0.640711357536364
1	"LAYING"	-0.649275767327451
1	"LAYING"	-0.647666652908556
1	"LAYING"	-0.645282174283244
1	"LAYING"	-0.55111433523672
1	"LAYING"	-0.607154223268984
1	"LAYING"	-0.511076301806774
1	"LAYING"	-0.489405698459358
1	"LAYING"	-0.583101213003922
1	"LAYING"	-0.532658563961622
1	"LAYING"	-0.379584599360071
1	"LAYING"	-0.380870733689127
1	"LAYING"	-0.536864262049002
1	"LAYING"	-0.613548256128627
1	"LAYING"	-0.630347922547237
1	"LAYING"	-0.637217588987219
1	"LAYING"	-0.648395693625187
1	"LAYING"	-0.657808604004278
1	"WALKING"	-0.373762232922353
1	"WALKING"	-0.336874138709626
1	"WALKING"	-0.341955119642424
1	"WALKING"	-0.303804710649643
1	"WALKING"	-0.303013392548841
1	"WALKING"	-0.314193721670945
1	"WALKING"	-0.334004255122638
1	"WALKING"	-0.317855160262977
1	"WALKING"	-0.368292665177166
1	"WALKING"	-0.337928328406061
1	"WALKING"	-0.344280113168663
1	"WALKING"	-0.320794428905348
1	"WALKING"	-0.303972551243832
1	"WALKING"	-0.290712416360036
1	"WALKING"	-0.298929348282496
1	"WALKING"	-0.303826568447665
1	"WALKING"	-0.308141080567879
1	"WALKING"	-0.303307946885027
1	"WALKING"	-0.297645063976114
1	"WALKING"	-0.313297681915508
1	"WALKING"	-0.309874409699393
1	"WALKING"	-0.296184399174064
1	"WALKING"	-0.309934396000356
1	"WALKING"	-0.25937103576738
1	"WALKING"	-0.283384731214617
1	"WALKING"	-0.293289650625134
1	"WALKING"	-0.302374811990553
1	"WALKING"	-0.335428887950463
1	"WALKING"	-0.312844901594547
